"Date","Location","Event",,
"2024-02-09","HFMT, hamburg","delulu is the solulu (av installation)",,
"2023-12-16","theater st. gallen, st. galln","premiere gott (theater music)",,
"2023-10-28","sommercasino, basel","w/ prix garanti",,
"2023-10-27","bad bonn, düdingen","w/ prix garanti",,
"2023-09-30","oho, biel","w/ rt60",,
"2023-09-29","amr, genf","w/ rt60",,
"2023-09-28","buffet nord, bern","w/ rt60",,
"2023-09-17","nydeggkirche, bern","soundinsttalation climate sounds",,
"2023-09-16","aarau stadtfest, aarau","w/ prix garanti",,
"2023-09-16","trstn radio, freiburg","dj set as dataflelx",,
"2023-09-09","hofwyl festival, bern","w/ prix garanti",,
"2023-09-02","herzogenfest, bern","w/ prix garanti",,
"2023-08-26","röntgenplatz festival, bern","w/ prix garanti",,
"2023-08-05","bonduz festival, bonduz","w/ prix garanti",,
"2023-06-16","stolzer festivall, zürich","w/ prix garanti",,
"2023-06-10","mühle hunziken, hunziken","w/ prix garanti",,
"2023-05-17","gannet, basel","w/ prix garanti",,
"2023-05-12","kraftfeld, winterthur","w/ prix garanti",,
"2023-05-07","dampfzentrale, bern","time goes by so naturally by crttr",,
"2023-05-06","lauter festival, zürich","w/ prix garanti",,
"2023-05-05","pornokino, bern","w/ prix garanti",,
"2023-04-07","radio 3fach, luzern","stromstoss dj-set",,
"2023-04-01","secret","w/ prix garanti",,
"2023-03-31","kaiptel, bern","crttr005 showcase",,
"2023-03-24","dachstock, bern","’nüt isch guet und alles isch plastik’ plattentaufe",,
"2023-03-08","ola radio, bern","crttr showcase",,
"2023-02-18","trnstn, freiburg","crttr showcase",,
"2023-02-12","kapitel, bern","radarnight dj set",,
"2022-12-30","palace, st. gallen","w/ prix garanti",,
"2022-12-23","industriestrasse, luzern","w/ prix garanti",,
"2022-12-22","ablette, freiburg","crttr",,
"2022-11-26","radio bollwerk, bern","crttr",,
"2022-11-19","umbo, zürich"," zürich",,
"2022-11-17","zentralwäscherei, zürich","w/ prix garanti",,
"2022-11-10","kapitel, bern","crttr",,
"2022-10-28","kapitel, bern","radarnight dj set",,
"2022-10-22","trnstn, freiburg","crttr",,
"2022-11-12-13","gessnerallee, zürich","zürich",,
"2022-09-24","trnstn, freiburg","crttr",,
"2022-09-17","breitschplatz, bern","w/ prix garanti",,
"2022-09-08","musikfestival, bern","t(r)anss(e.) by rt60",,
"2022-08-11","kapitel, bern","crttr",,
"2022-07-31","zaffareia, bern","w/ prix garanti",,
"2022-07-30","mokka, thun","w/ prix garanti",,
"2022-07-29","out in the green garden, frauenfeld","w/ prix garanti",,
"2022-07-23","radio bollwerk, bern","crttr",,
"2022-07-16","gurtenfestival, bern","w/ prix garanti",,
"2022-05-31-2022-06-25","konzerttheater st. gallen, st. gallen","und jetzt: die welt (music for theater)",,
"2022-05-20","akustiker:innenverein schweiz, luzern","award, best binaural fieldrecording",,
"2022-05-01","kasernenareal, basel","maisoui festival",,
"2022-04-23-29","garage emma, luzern","solo exhibition ‘dissolving screens’",,
"2022-04-20","isc, bern","mfb award 'album des Jahres' /w prix garanti",,
"2022-04-07","kapitel soso space, bern","crttr004 showcase",,
"2022-04-01","progr, bern","hammerfreitag w/ prix garanti",,
"2022-03-31","schüür, luzern","w/ prix garanti",,
"2022-02-22-23","HKB, bern","dissolving screens (av installation)",,
"2022-01-12","schüür, luzern","w/ prix garanti",,
"2021-11-06","bad bonn, düdingen","w/ prix garanti",,
"2021-11-05","lakuz, langenthal","w/ prix garanti",,
"2021-11-04","rouin, basel","w/ prix garanti",,
"2021-09-17-18","maillon, strassburg","spatial sound design foor alexander schubert’s asterism ",,
"2021-09-01","beethovenfestival, zürich","akusmatische komposition",,
"2021-08-09","lakeside festival, biel","w/ prix garanti",,
"2021-07-09","gaskessel, bern","‘nüt isch guet und alles isch scheisse’ plattentaufe",,
